Time,UNIX_T,RSSI1,RSSI2,RSSI3,Lux,Acc_x,Acc_y,Acc_z,Temp,ID,Pos,Si,Co,Ro
"2017-09-22 14:38:15.443",1506083895443,52,66,61,5,-1110,-22,93,2223,1,231,2,3,1
"2017-09-22 14:38:15.497",1506083895497,48,53,66,8,-1035,6,86,2181,2,152,1,5,2
"2017-09-22 14:38:15.546",1506083895546,53,62,50,8,-1091,-54,133,2107,3,111,1,1,1
"2017-09-22 14:38:15.597",1506083895597,55,75,42,3,-1074,4,106,2093,4,223,2,2,3
"2017-09-22 14:38:15.646",1506083895646,57,56,63,4,-1054,-43,108,28587,5,252,2,5,2
"2017-09-22 14:38:15.695",1506083895695,53,69,57,3,-1099,-51,94,2070,6,213,2,1,3
"2017-09-22 14:38:15.747",1506083895747,47,67,63,14,-1015,26,166,2122,7,131,1,3,1
"2017-09-22 14:38:15.797",1506083895797,40,49,52,9,-1088,-34,57,2080,8,151,1,5,1
"2017-09-22 14:38:15.845",1506083895845,53,56,66,3,-1030,46,89,2131,9,243,2,4,3
"2017-09-22 14:38:15.900",1506083895900,54,62,51,7,-1088,-60,87,2106,10,153,1,5,3
"2017-09-22 14:38:15.948",1506083895948,60,60,55,7,-1048,-51,86,2100,11,113,1,1,3
"2017-09-22 14:38:15.994",1506083895994,61,62,66,4,-1035,-23,47,2144,12,232,2,3,2
"2017-09-22 14:38:16.047",1506083896047,65,71,61,4,-1093,-35,78,2193,13,221,2,2,1
"2017-09-22 14:38:16.096",1506083896096,41,64,61,11,-1055,-49,50,2080,14,142,1,4,2
"2017-09-22 14:38:16.148",1506083896148,52,64,61,4,-1094,-28,102,2078,15,233,2,3,3
"2017-09-22 14:38:16.199",1506083896199,61,69,52,4,-1059,-30,110,2099,16,211,2,1,1
"2017-09-22 14:38:16.252",1506083896252,58,66,64,9,-1099,-50,124,2155,17,141,1,4,1
"2017-09-22 14:38:16.299",1506083896299,62,73,58,4,-1054,-36,121,2112,18,222,2,2,2
"2017-09-22 14:38:16.344",1506083896344,57,70,60,7,-1038,76,57,2186,19,122,1,2,2
"2017-09-22 14:38:16.404",1506083896404,53,57,63,4,-1072,10,109,2128,20,242,2,4,2
"2017-09-22 14:38:16.444",1506083896444,47,62,64,9,-1062,-31,93,2163,21,199,1,9,9
"2017-09-22 14:38:16.500",1506083896500,56,62,60,3,-1047,-46,125,2172,22,299,2,9,9
"2017-09-22 14:38:17.516",1506083897516,51,66,61,5,-1106,-15,92,2223,1,231,2,3,1
"2017-09-22 14:38:17.568",1506083897568,47,53,67,8,-1035,6,89,2155,2,152,1,5,2
"2017-09-22 14:38:17.618",1506083897618,52,62,50,8,-1090,-54,132,2107,3,111,1,1,1
"2017-09-22 14:38:17.670",1506083897670,56,75,40,3,-1075,1,106,2112,4,223,2,2,3
"2017-09-22 14:38:17.721",1506083897721,57,55,63,4,-1051,-50,110,28580,5,252,2,5,2
"2017-09-22 14:38:17.767",1506083897767,53,68,56,3,-1099,-52,95,2070,6,213,2,1,3
"2017-09-22 14:38:17.820",1506083897820,46,68,63,14,-1010,29,162,2141,7,131,1,3,1
"2017-09-22 14:38:17.872",1506083897872,40,49,52,9,-1094,-31,57,2054,8,151,1,5,1
"2017-09-22 14:38:17.918",1506083897918,53,55,65,3,-1030,52,93,2124,9,243,2,4,3
"2017-09-22 14:38:17.973",1506083897973,53,63,51,7,-1094,-59,84,2106,10,153,1,5,3
"2017-09-22 14:38:18.018",1506083898018,59,60,55,7,-1051,-50,87,2100,11,113,1,1,3
"2017-09-22 14:38:18.067",1506083898067,61,62,66,4,-1035,-22,46,2144,12,232,2,3,2
"2017-09-22 14:38:18.119",1506083898119,65,71,61,4,-1086,-38,82,2173,13,221,2,2,1
"2017-09-22 14:38:18.168",1506083898168,39,64,61,11,-1053,-47,46,2080,14,142,1,4,2
"2017-09-22 14:38:18.220",1506083898220,52,64,61,4,-1093,-27,108,2078,15,233,2,3,3
"2017-09-22 14:38:18.269",1506083898269,61,69,53,4,-1062,-31,105,2099,16,211,2,1,1
"2017-09-22 14:38:18.324",1506083898324,58,65,64,9,-1102,-46,121,2142,17,141,1,4,1
"2017-09-22 14:38:18.370",1506083898370,62,73,58,4,-1054,-36,117,2099,18,222,2,2,2
"2017-09-22 14:38:18.419",1506083898419,57,70,62,7,-1039,74,58,2206,19,122,1,2,2
"2017-09-22 14:38:18.479",1506083898479,53,57,63,4,-1072,10,114,2128,20,242,2,4,2
"2017-09-22 14:38:18.519",1506083898519,48,62,63,9,-1061,-31,98,2150,21,199,1,9,9
"2017-09-22 14:38:18.572",1506083898572,57,63,60,3,-1053,-44,121,2166,22,299,2,9,9
"2017-09-22 14:38:19.585",1506083899585,51,66,61,5,-1104,-22,90,2204,1,231,2,3,1
"2017-09-22 14:38:19.636",1506083899636,47,53,66,8,-1032,10,89,2168,2,152,1,5,2
"2017-09-22 14:38:19.689",1506083899689,52,63,50,8,-1090,-58,141,2107,3,111,1,1,1
"2017-09-22 14:38:19.738",1506083899738,55,75,39,3,-1074,1,110,2112,4,223,2,2,3
"2017-09-22 14:38:19.789",1506083899789,57,56,63,4,-1051,-51,109,28580,5,252,2,5,2
"2017-09-22 14:38:19.840",1506083899840,52,68,56,3,-1099,-51,95,2083,6,213,2,1,3
"2017-09-22 14:38:19.890",1506083899890,47,67,63,14,-1007,30,167,2128,7,131,1,3,1
"2017-09-22 14:38:19.942",1506083899942,40,49,53,9,-1090,-28,57,2074,8,151,1,5,1
"2017-09-22 14:38:19.991",1506083899991,53,54,65,3,-1032,47,87,2131,9,243,2,4,3
"2017-09-22 14:38:20.043",1506083900043,54,63,51,7,-1090,-59,84,2112,10,153,1,5,3
"2017-09-22 14:38:20.088",1506083900088,61,60,56,7,-1054,-51,86,2107,11,113,1,1,3
"2017-09-22 14:38:20.137",1506083900137,61,62,66,4,-1035,-22,49,2157,12,232,2,3,2
"2017-09-22 14:38:20.187",1506083900187,65,71,61,5,-1088,-35,82,2167,13,221,2,2,1
"2017-09-22 14:38:20.240",1506083900240,42,64,61,11,-1054,-51,46,2080,14,142,1,4,2
