Time,UNIX_T,RSSI1,RSSI2,RSSI3,Lux,Acc_x,Acc_y,Acc_z,Temp,ID,Pos,Si,Co,Ro
"2017-09-20 15:31:26.662",1505914286662,62,74,61,4,-1102,-18,102,2100,1,222,2,2,2
"2017-09-20 15:31:26.715",1505914286715,48,66,60,5,-1035,7,89,2136,2,231,2,3,1
"2017-09-20 15:31:26.765",1505914286765,43,61,61,12,-1090,-54,145,1977,3,142,1,4,2
"2017-09-20 15:31:26.815",1505914286815,42,67,63,15,-1071,2,117,2067,4,131,1,3,1
"2017-09-20 15:31:26.868",1505914286868,45,61,49,7,-1053,-43,110,28496,5,111,1,1,1
"2017-09-20 15:31:26.914",1505914286914,53,73,29,3,-1096,-51,100,1985,6,223,2,2,3
"2017-09-20 15:31:26.967",1505914286967,54,56,67,4,-1010,30,174,2011,7,243,2,4,3
"2017-09-20 15:31:27.019",1505914287019,47,60,50,7,-1093,-27,61,1931,8,122,1,2,2
"2017-09-20 15:31:27.063",1505914287063,62,65,58,6,-1030,46,98,2027,9,123,1,2,3
"2017-09-20 15:31:27.117",1505914287117,55,65,64,8,-1086,-51,100,2047,10,132,1,3,2
"2017-09-20 15:31:27.167",1505914287167,53,66,63,10,-1047,-49,81,2100,11,141,1,4,1
"2017-09-20 15:31:27.213",1505914287213,58,58,63,5,-1032,-22,73,2079,12,252,2,5,2
"2017-09-20 15:31:27.264",1505914287264,57,59,66,5,-1086,-33,89,2102,13,241,2,4,1
"2017-09-20 15:31:27.314",1505914287314,60,61,66,5,-1055,-51,50,2015,14,232,2,3,2
"2017-09-20 15:31:27.370",1505914287370,55,53,64,5,-1090,-27,121,2039,15,242,2,4,2
"2017-09-20 15:31:27.414",1505914287414,53,63,61,3,-1058,-25,114,1956,16,233,2,3,3
"2017-09-20 15:31:27.472",1505914287472,60,66,53,4,-1094,-47,129,2038,17,212,2,1,2
"2017-09-20 15:31:27.517",1505914287517,51,58,60,9,-1054,-39,124,2047,18,151,1,5,1
"2017-09-20 15:31:27.564",1505914287564,67,60,39,7,-1031,68,70,2115,19,112,1,1,2
"2017-09-20 15:31:27.624",1505914287624,58,54,49,6,-1075,12,126,1998,20,113,1,1,3
"2017-09-20 15:31:27.666",1505914287666,53,61,64,9,-1062,-25,106,2053,21,199,1,9,9
"2017-09-20 15:31:27.721",1505914287721,57,62,58,3,-1054,-38,117,2075,22,299,2,9,9
"2017-09-20 15:31:28.736",1505914288736,62,74,61,4,-1103,-18,98,2100,1,222,2,2,2
"2017-09-20 15:31:28.783",1505914288783,49,66,60,5,-1034,10,86,2136,2,231,2,3,1
"2017-09-20 15:31:28.834",1505914288834,45,61,61,12,-1087,-58,138,1984,3,142,1,4,2
"2017-09-20 15:31:28.887",1505914288887,45,67,63,15,-1077,4,117,2080,4,131,1,3,1
"2017-09-20 15:31:28.938",1505914288938,48,62,49,7,-1056,-44,114,28509,5,111,1,1,1
"2017-09-20 15:31:28.986",1505914288986,53,73,27,3,-1094,-58,102,1992,6,223,2,2,3
"2017-09-20 15:31:29.039",1505914289039,53,54,66,4,-1011,37,172,2018,7,243,2,4,3
"2017-09-20 15:31:29.087",1505914289087,48,60,50,7,-1090,-28,61,1931,8,122,1,2,2
"2017-09-20 15:31:29.137",1505914289137,62,64,58,6,-1030,42,93,2027,9,123,1,2,3
"2017-09-20 15:31:29.191",1505914289191,54,65,63,8,-1086,-52,98,2047,10,132,1,3,2
