Time,UNIX_T,RSSI1,RSSI2,RSSI3,Lux,Acc_x,Acc_y,Acc_z,Temp,ID,Pos,Si,Co,Ro
"2017-09-22 16:51:13.308",1506091873308,57,75,50,12,-1106,-25,97,2249,1,223,2,2,3
"2017-09-22 16:51:13.356",1506091873356,44,55,63,13,-1035,12,93,2266,2,253,2,5,3
"2017-09-22 16:51:13.408",1506091873408,54,59,63,18,-1088,-47,132,2192,3,241,2,4,1
"2017-09-22 16:51:13.457",1506091873457,50,65,64,31,-1078,-3,108,2203,4,132,1,3,2
"2017-09-22 16:51:13.508",1506091873508,54,64,61,16,-1051,-50,102,2067,5,231,2,3,1
"2017-09-22 16:51:13.560",1506091873560,59,59,53,28,-1098,-54,108,2135,6,113,1,1,3
"2017-09-22 16:51:13.611",1506091873611,63,67,61,28,-1014,26,172,2148,7,123,1,2,3
"2017-09-22 16:51:13.660",1506091873660,52,47,55,16,-1088,-22,50,2093,8,252,2,5,2
"2017-09-22 16:51:13.707",1506091873707,53,69,59,30,-1030,45,94,2182,9,122,1,2,2
"2017-09-22 16:51:13.763",1506091873763,58,63,57,31,-1083,-59,97,2177,10,143,1,4,3
"2017-09-22 16:51:13.809",1506091873809,64,71,53,16,-1054,-51,81,-24361,11,211,2,1,1
"2017-09-22 16:51:13.859",1506091873859,54,65,64,13,-1037,-22,50,2216,12,233,2,3,3
"2017-09-22 16:51:13.907",1506091873907,50,56,66,18,-1088,-41,76,2264,13,251,2,5,1
"2017-09-22 16:51:13.958",1506091873958,48,62,57,38,-1055,-54,49,2171,14,142,1,4,2
"2017-09-22 16:51:14.011",1506091874011,53,61,48,34,-1091,-31,108,2195,15,111,1,1,1
"2017-09-22 16:51:14.058",1506091874058,64,70,60,15,-1066,-35,111,2145,16,221,2,2,1
"2017-09-22 16:51:14.113",1506091874113,61,72,58,13,-1101,-51,117,2201,17,222,2,2,2
"2017-09-22 16:51:14.161",1506091874161,49,59,60,37,-1055,-35,117,2210,18,151,1,5,1
"2017-09-22 16:51:14.208",1506091874208,57,66,50,32,-1039,74,61,2316,19,121,1,2,1
"2017-09-22 16:51:14.266",1506091874266,52,66,48,13,-1071,5,114,2219,20,212,2,1,2
"2017-09-22 16:51:14.307",1506091874307,50,62,63,37,-1062,-31,98,2202,21,199,1,9,9
"2017-09-22 16:51:14.363",1506091874363,57,61,59,11,-1051,-46,125,2231,22,299,2,9,9
"2017-09-22 16:51:15.377",1506091875377,57,75,51,12,-1102,-25,95,2256,1,223,2,2,3
"2017-09-22 16:51:15.426",1506091875426,43,53,63,13,-1039,12,89,2240,2,253,2,5,3
"2017-09-22 16:51:15.480",1506091875480,53,59,63,18,-1093,-51,130,2166,3,241,2,4,1
"2017-09-22 16:51:15.528",1506091875528,53,65,63,31,-1072,-3,100,2171,4,132,1,3,2
"2017-09-22 16:51:15.580",1506091875580,53,65,61,16,-1058,-42,109,2067,5,231,2,3,1
"2017-09-22 16:51:15.631",1506091875631,58,59,54,28,-1094,-54,103,2102,6,113,1,1,3
"2017-09-22 16:51:15.681",1506091875681,63,66,61,28,-1011,29,166,2115,7,123,1,2,3
"2017-09-22 16:51:15.731",1506091875731,51,47,54,16,-1094,-27,47,2106,8,252,2,5,2
"2017-09-22 16:51:15.780",1506091875780,53,69,59,30,-1032,42,98,2189,9,122,1,2,2
"2017-09-22 16:51:15.834",1506091875834,59,63,57,31,-1087,-63,84,2197,10,143,1,4,3
"2017-09-22 16:51:15.878",1506091875878,64,71,52,16,-1055,-43,71,-24348,11,211,2,1,1
"2017-09-22 16:51:15.930",1506091875930,55,66,64,13,-1037,-25,57,2216,12,233,2,3,3
"2017-09-22 16:51:15.979",1506091875979,52,57,66,18,-1088,-44,82,2258,13,251,2,5,1
"2017-09-22 16:51:16.028",1506091876028,48,63,57,38,-1053,-52,53,2171,14,142,1,4,2
"2017-09-22 16:51:16.083",1506091876083,55,62,49,34,-1091,-34,105,2189,15,111,1,1,1
"2017-09-22 16:51:16.130",1506091876130,64,70,60,15,-1064,-33,114,2164,16,221,2,2,1
"2017-09-22 16:51:16.185",1506091876185,62,72,58,13,-1101,-51,117,2201,17,222,2,2,2
"2017-09-22 16:51:16.234",1506091876234,48,59,60,37,-1053,-35,114,2210,18,151,1,5,1
"2017-09-22 16:51:16.280",1506091876280,57,67,50,32,-1038,69,55,2316,19,121,1,2,1
"2017-09-22 16:51:16.340",1506091876340,53,66,49,13,-1072,5,114,2200,20,212,2,1,2
"2017-09-22 16:51:16.380",1506091876380,45,61,63,37,-1062,-31,100,2228,21,199,1,9,9
"2017-09-22 16:51:16.433",1506091876433,57,61,59,11,-1056,-46,122,2224,22,299,2,9,9
"2017-09-22 16:51:17.449",1506091877449,57,76,49,12,-1106,-22,98,2256,1,223,2,2,3
"2017-09-22 16:51:17.501",1506091877501,46,53,63,13,-1035,13,92,2240,2,253,2,5,3
"2017-09-22 16:51:17.549",1506091877549,54,59,64,18,-1091,-50,132,2185,3,241,2,4,1
"2017-09-22 16:51:17.600",1506091877600,53,66,63,31,-1079,1,103,2184,4,132,1,3,2
"2017-09-22 16:51:17.654",1506091877654,55,64,61,16,-1051,-43,106,2074,5,231,2,3,1
"2017-09-22 16:51:17.701",1506091877701,57,58,54,28,-1095,-52,108,2141,6,113,1,1,3
"2017-09-22 16:51:17.751",1506091877751,63,66,62,28,-1013,26,172,2148,7,123,1,2,3
"2017-09-22 16:51:17.803",1506091877803,52,47,55,16,-1086,-27,53,2093,8,252,2,5,2
"2017-09-22 16:51:17.849",1506091877849,55,69,59,30,-1027,42,98,2202,9,122,1,2,2
"2017-09-22 16:51:17.904",1506091877904,59,63,57,31,-1090,-59,89,2184,10,143,1,4,3
"2017-09-22 16:51:17.949",1506091877949,64,70,53,16,-1054,-50,74,-24341,11,211,2,1,1
"2017-09-22 16:51:18.000",1506091878000,55,65,64,13,-1037,-22,53,2209,12,233,2,3,3
"2017-09-22 16:51:18.049",1506091878049,53,56,66,18,-1087,-41,86,2245,13,251,2,5,1
"2017-09-22 16:51:18.102",1506091878102,48,63,57,38,-1058,-52,49,2177,14,142,1,4,2
"2017-09-22 16:51:18.153",1506091878153,54,62,50,34,-1095,-31,103,2195,15,111,1,1,1
"2017-09-22 16:51:18.203",1506091878203,64,70,60,15,-1060,-34,113,2177,16,221,2,2,1
"2017-09-22 16:51:18.258",1506091878258,62,73,58,13,-1101,-47,124,2194,17,222,2,2,2
"2017-09-22 16:51:18.303",1506091878303,48,58,61,37,-1056,-34,110,2210,18,151,1,5,1
"2017-09-22 16:51:18.350",1506091878350,57,66,52,32,-1040,71,57,2310,19,121,1,2,1
"2017-09-22 16:51:18.408",1506091878408,52,65,46,13,-1072,5,121,2213,20,212,2,1,2
